lo sport,l'esport
venti; ventuno; ventidue; ventitré,vint; vint-i-u; vint-i-dos; vint-i-tres
ventiquattro; venticinque; ventisei; ventisette,vint-i-quatre; vint-i-cinc; vint-i-sis; vint-i-set
ventotto; ventinove; trenta; trentuno,vint-i-vuit; vint-i-nou; trenta; trenta-u
trentadue; trentatré; trentaquattro; trentacinque,trenta-dos; trenta-tres; trenta-quatre; trenta-cinc
trentasei; trentasette; trentotto; trentanove,trenta-sis; trenta-set; trenta-vuit; trenta-nou
quaranta; quarantuno; quarantadue; quarantatré,quaranta; quaranta-u; quaranta-dos; quaranta-tres
quarantaquattro; quarantacinque; quarantasei; quarantasette,quaranta-quatre; quaranta-cinc; quaranta-sis; quaranta-set
quarantotto; quarantanove; cinquanta; cinquantuno,quaranta-vuit; quaranta-nou; cinquanta; cinquanta-u
cinquantadue; cinquantatré; cinquantaquattro; cinquantacinque,cinquanta-dos; cinquanta-tres; cinquanta-quatre; cinquanta-cinc
cinquantasei; cinquantasette; cinquantotto; cinquantanove,cinquanta-sis; cinquanta-set; cinquanta-vuit; cinquanta-nou
sessanta; sessantuno; sessantadue; sessantatré,seixanta; seixanta-u; seixanta-dos; seixanta-tres
sessantaquattro; sessantacinque; sessantasei; sessantasette,seixanta-quatre; seixanta-cinc; seixanta-sis; seixanta-set
sessantotto; sessantanove; settanta; settantuno,seixanta-vuit; seixanta-nou; setanta; setanta-u
settantadue; settantatré; settantaquattro; settantacinque,setanta-dos; setanta-tres; setanta-quatre; setanta-cinc
settantasei; settantasette; settantotto; settantanove,setanta-sis; setanta-set; setanta-vuit; setanta-nou
ottanta; ottantuno; ottantadue; ottantatré,vuitanta; vuitanta-u; vuitanta-dos; vuitanta-tres
ottantaquattro; ottantacinque; ottantasei; ottantasette,vuitanta-quatre; vuitanta-cinc; vuitanta-sis; vuitanta-set
ottantotto; ottantanove; novanta; novantuno,vuitanta-vuit; vuitanta-nou; noranta; noranta-u
novantadue; novantatré; novantaquattro; novantacinque,noranta-dos; noranta-tres; noranta-quatre; noranta-cinc
novantasei; novantasette; novantotto; novantanove,noranta-sis; noranta-set; noranta-vuit; noranta-nou
cento,cent
Ciao (informale),Hola
Buongiorno (formale),Bon dia
Buon pomeriggio/Buonasera,Bona tarda
Arrivederci,Adeu
A presto/Ci vediamo,A reveure
Piacere (dice una donna),Encantada
Piacere (dice un uomo),Encantat
Molto lieto; piacere,Tant de gust
Ehi; come va?,Ei; com va això?
Bene; si tira avanti,Bé; anar fent
E tu?,I tu?
Molto bene; grazie,Molt bé; gràcies
Come ti chiami? (informale),Com et dius?
Come si chiama? (formale),Com es diu?
Come vi chiamate?,Com us dieu?
Quanti anni hai?,Quants anys tens?
Quanti anni avete?,Quants anys teniu?
Di dove sei?,D'on ets?
Di dove siete?,D'on sou?
Dove vivi?,On vius?
Dove vivete?,On viviu?
Perché studi il catalano?,Per què estudies català?
Chi è?,Qui és?
Grazie,Gràcies
Grazie mille,Moltes gràcies
Prego,De res
Per favore,Si us plau
Scusa (informale),Perdona
Mi scusi (formale),Perdoni
Come si scrive...?,Com s'escriu...?
Puoi ripeterlo; per favore?,Pots repetir-ho; si us plau?
Benvenuto/Benvenuta,Benvingut/Benvinguda
Sì; certo!,Sí; i tant!
Ah sì?,Ah; sí?
Non lo so,No ho sé
D'accordo; grazie,D'acord; gràcies
